id,name,description,current_category,store_type
830,비오레 UV 미스트형 썬크림,미스트 형태로 얼굴과 바디 모두 사용 가능하며 끈적임 없이 발림성 좋다는 후기,cosmetic,donki
831,비오레 UV 아쿠아 리치 라이트업 에센스,자연스러운 톤업과 슈퍼 워터프루프 기능으로 여름철 바디 선크림으로 특히 추천된다는 후기,cosmetic,donki
832,비오레 UV 아쿠아 리치 선크림,끈적임 없이 가볍고 수분감이 풍부해 지복합성 피부에도 잘 맞는다는 평,cosmetic,donki
833,비오레 UV 아쿠아 리치 아쿠아 프로텍트 미스트,미스트 타입이라 손에 묻히지 않고 메이크업 위에도 덧바르기 좋으며 자외선 차단력 강하고 쿨링감도 좋아 여행 시 매우 유용했다는 실사용 후기,cosmetic,donki
834,비오레 UV 아쿠아 리치 워터리 홀드 크림,"SPF50+ 자외선 차단력과 부드러운 발림성, 수분감이 높아 민감 피부도 자극 없이 사용할 수 있다는 후기",cosmetic,donki
835,비오레 UV 아쿠아 리치 하이라이트 로션,끈적임 없는 보송한 마무리감과 하이라이트 효과 덕분에 메이크업 베이스로도 활용 가능하다는 리뷰,cosmetic,donki
836,비오레 UV 아쿠아 미스트,미스트형 자외선 차단제로 가볍고 끈적임 없어 여름철 사용하기 좋다는 후기,food,donki
837,비오레 메이크업 리무버,세정력이 우수하면서도 자극이 적어 메이크업 클렌징에 좋다는 후기,cosmetic,donki
838,비오레 사라사라 시트,"땀 흡수력 뛰어나 여름철 데오드란트 시트로 인기 많고, 여행 중 상쾌함 유지에 도움된다는 후기",etc,donki
839,비오레 선미스트,수정용으로 몸에 뿌리기 적합하며 피부에 금방 흡수되어 끈적이지 않는다는 후기,cosmetic,donki
840,비오레 아쿠아리치 미스트 선크림,자외선 차단 지수 높고 뿌리는 타입으로 야외 활동 시 편리해 여름철 필수 아이템이라는 평,cosmetic,donki
841,비오레 아쿠아리치 워터리 에센스,끈적임 없이 산뜻하게 발리고 가벼운 사용감 덕분에 여름철 데일리 선크림으로 추천된다는 후기,cosmetic,donki
842,비오레 클렌징 오일,젖은 손으로도 사용 가능하며 끈적임 없이 산뜻하게 클렌징돼 풀메이크업도 깨끗이 지워진다는 평,cosmetic,donki
843,비타민C 다이쇼,고함량 비타민으로 면역력 증진에 도움돼 여행 중 섭취 추천된다는 후기,etc,donki
844,사나 두유 아이크림,비타민E와 레티놀 유도체로 눈가 보습과 탄력 케어에 효과적이며 일본 가성비 아이크림으로 유명하다는 후기,cosmetic,donki
845,사라사라 크림,여름철 발·겨드랑이 땀을 뽀송하게 유지해주며 소량으로도 효과 뛰어나다는 후기,cosmetic,donki
846,사론파스,강한 진통 효과와 부착 시 파스 냄새가 강하지만 효과는 만족스럽다는 후기,etc,donki
847,사보리노 마스크팩,1분 마스크팩으로 아침 시간 절약 가능하고 냉장 보관 후 사용 시 상쾌하다는 평,cosmetic,donki
848,사카무케아,솔로 바르는 액체 반창고로 상처 보호와 소독을 동시에 해주며 주방 일 하는 이들에게 특히 유용하다는 평가,etc,donki
849,사쿠라 키나코 맛 킷캣,"일본 한정 벚꽃 패키지로 이색적인 맛이 특징이며, 기념품으로 특별한 느낌을 준다는 후기",food,donki
850,사토 아세스 치약,연마제가 없어 자극 없이 개운하게 닦이는 고급 잇몸 치약으로 추천된다는 후기,etc,donki
851,산리오 립밤,소장용으로 귀엽고 개성 있어 추천된다는 후기,cosmetic,donki
852,산리오 미니 파우치,"선물용, 소장용 모두 만족도 높으며 소지품 보관에 유용해 다양한 용도로 재구매된다는 후기",etc,donki
853,산리오 손톱깎이,귀여운 디자인과 뛰어난 절삭력으로 일본 캐릭터 굿즈 중에서도 만족도가 높다는 후기,etc,donki
854,산테 메디컬 플러스 안약,용도별로 색상 라인이 나뉘며 눈 피로·렌즈·노화 등 다양한 문제에 맞춰 선택 가능하다는 후기,etc,donki
855,산토리 가쿠빈,하이볼에 적합한 주류로 한때 고가였지만 요즘 가격이 내려가 여행 중 구매하기 좋다는 평,etc,donki
856,산토리 올드 위스키,선물용으로 고급스러운 병 디자인과 풍부한 향 덕분에 다음 여행에서도 꼭 사고 싶다는 후기,etc,donki
857,산토리 위스키 레드,고급스러운 패키지와 스파이시한 맛이 인상적이며 스트레이트로 마시기 좋아 만족스럽다는 후기,food,donki
858,산토리 하이볼,일본 현지에서만 구할 수 있는 맛과 저렴한 가격으로 술 애호가 선물용으로 추천됨,food,donki
859,삿포로 클래식 비어,온니 홋카이도 한정 맥주로 현지인과 여행객 모두에게 인기이며 더 사올 걸 후회된다는 평,etc,donki
860,샤론파스,동전파스보다 강력한 효능으로 요즘 더 인기가 많다는 평,etc,donki
861,샤론파스 로션형,바르기 간편하고 근육통 완화에 효과적이라 여행 중 상비약으로 추천된다는 후기,cosmetic,donki
862,샤샤 초콜릿,겹겹이 얇은 식감이 독특하고 부드러워 다음에는 더 사오고 싶다는 만족도 높은 과자,food,donki
863,세나큐아,등 여드름에 분사형으로 편하고 모공각화증에도 효과가 있다는 후기,etc,donki
864,세잔느 메이크업 베이스 블루,땀이 많아도 메이크업 밀착력과 유지력이 뛰어나 여름철 필수라는 후기,cosmetic,donki
865,센카 퍼펙트 휩 폼클렌징,"한국 여행객들 사이에서 인기가 많아 묶음 판매가 이루어질 정도이며, 가격 대비 만족도가 높다는 후기",cosmetic,donki
866,센카 퍼펙트휩,쫀쫀한 거품과 촉촉한 마무리감 덕분에 일본 갈 때마다 재구매한다는 실사용 후기,etc,donki
867,센카 퍼펙트휩 콜라겐,세안 후 당김이 적고 가격도 일본이 훨씬 저렴해 가족 선물로 매번 사오는 클렌징폼이라는 후기,food,donki
868,소말카 컬러차지 샴푸,노란기 제거 및 실버 톤 보정에 효과적이며 염색모 관리용으로 직접 사용해보고 추천하는 제품,food,donki
869,소켄비차,깔끔한 맛의 혼합차로 식사와 함께 마시기 좋고 건강 음료로 인식된다는 후기,food,donki
870,소프티모 클렌징 워시,AHA 클렌징보다 가격이 저렴하면서 세정력도 뛰어나 대안으로 추천,cosmetic,donki
871,손톱깎이,절삭력이 우수하고 손톱이 튀지 않아 기념품 및 선물용으로 추천된다는 후기,etc,donki
872,솔티드 카라멜,단짠 조화가 예술적이라는 표현이 있을 만큼 중독성 있다는 평,etc,donki
873,쇼콜라비비,"피부 건강, 피로 회복, 구내염에 효과적인 비타민B로 입소문났으며 알약이 작고 뚜껑 설계도 편리하다는 평",cosmetic,donki
874,수면 안대,눈과 귀를 덮는 디자인으로 여행 중 휴식 시 유용해 본인도 실사용 후 재구매했다는 후기,etc,donki
875,수이사이 뷰티 클리어 골드 파우더 워시,각질 제거와 보습이 동시에 가능해 건성 피부에 적합하며 일본 여행 시 세안템으로 추천된다는 후기,cosmetic,donki
876,스마일 40 프리미엄 점안액,눈 피로 해소와 쿨링감이 탁월해 컴퓨터 작업자에게 인생템으로 반복 구매된다는 리뷰,etc,donki
877,스마일 콘텍트 인공눈물,렌즈 착용자도 사용할 수 있으며 일본이 조금 더 저렴해서 방문할 때마다 사온다는 후기,etc,donki
878,스킨아쿠아 선크림,자극 없고 톤업 효과 없이 자연스럽게 발려 민감성 피부에도 적합하다는 실사용 평,cosmetic,donki
879,스타벅스 말차 라떼 믹스,스타벅스 매장과 동일한 원료를 사용해 만든 믹스로 집에서도 크리미한 맛을 간편하게 즐길 수 있다는 후기,food,donki
880,스토파,지사제로 여행 중 설사 시 빠르게 효과 있어 일본 설사약계에서 평정했다는 표현까지 있음,etc,donki
881,스트롱 사워크림 어니언 감자칩,질소포장이 아쉽지만 두꺼운 칩과 강한 사워크림 맛이 만족스러워 추천된다는 실사용 후기,cosmetic,donki
882,시라쿠마 우유 젤리,부드러운 단맛과 귀여운 캐릭터 패키지로 간식 및 선물용으로 인기가 많다는 후기,food,donki
883,시로이 다스,두께감 있는 화이트 초콜릿이 독특해서 유튜버 추천을 따라 구매했으며 만족도 높다는 후기,food,donki
884,시로이코이비토,"일본식 쿠쿠다스로, 자주 먹어도 여전히 맛있다는 평과 함께 대표적인 선물용 과자라는 리뷰",food,donki
885,시루콧토 우루우루 화장솜,보풀 없고 흡수력이 뛰어나 한 번 쓰면 다른 제품 못 쓴다는 사용자 후기,cosmetic,donki
886,시세이도 뷰로,인생 뷰러로 꼽히며 돈키호테에서 저렴하게 구매할 수 있어 추천된다는 후기,etc,donki
887,시세이도 아넷사 선크림,강력한 자외선 차단과 워터프루프 기능으로 휴양지에서도 유용하며 일본에서 저렴하게 구매할 수 있다는 후기,cosmetic,donki
888,시세이도 콜라겐 드링크,하루 한 병으로 피부 보습과 탄력 유지에 도움돼 콜라겐 드링크 중 맛과 효과 모두 인기 있다는 평,cosmetic,donki
889,시세이도 피노,국내보다 저렴하고 리필용 구성도 있어 가격 대비 만족도가 높다는 후기,etc,donki
890,신루루 감기약,감기 기운 있을 때 미리 먹으면 효과 좋아 집에 항상 구비해놓는다는 실사용 후기,etc,donki
891,아네론 멀미약,멀미 예방에 필수로 여행 시 챙긴다는 실사용 후기,etc,donki
892,아네사 선크림 SPF 50+,꾸준히 사용하는 선크림으로 자외선 차단력이 우수하다는 후기,cosmetic,donki
893,아리나민 EX 플러스,비타민 B군이 풍부해 피로 회복에 도움되고 자주 복용한다는 후기,etc,donki
894,아사히 맥주,마트보다 저렴한 가격에 구매 가능하고 깔끔한 맛으로 선물용으로도 좋다는 평,food,donki
895,아사히 프로틴바,간편하게 단백질을 보충할 수 있어 아침 대용이나 간식으로 좋다는 평,food,donki
896,아이리스 1회용 인공눈물,렌즈 착용자에게 위생적이고 가성비 좋아 상비약으로 쟁여두기 좋다는 평,etc,donki
897,아지노모토 스프 파스타,토마토 스튜 같은 맛으로 뜨끈한 해장용으로도 추천되는 파스타 스프,food,donki
898,아지노모토 치킨스톡,닭발이 들어가 고소하고 진한 맛으로 집에 쟁여두는 필수 조미료라는 실사용 후기,food,donki
899,아크네 페어 크림,여드름 부위에 데일리하게 바르기 좋고 스팟용으로 애크논보다 가볍다는 후기,cosmetic,donki
900,알포토 초콜릿,통밀 과자와 다양한 맛 초콜릿 조합이 인기며 선물용으로도 자주 추천된다는 후기,food,donki
901,알포트 미니 초콜릿,고소한 과자와 진한 초콜릿 조합으로 커피와 함께 먹으면 최고라는 간식템,food,donki
902,알포트 초코 비스킷,가성비가 좋아 대량 선물용으로 많이들 구입하며 빈츠와 비슷한 맛이라는 실사용 후기,food,donki
903,압박스타킹,여행 후 다리 피로와 붓기 해소에 효과 있어 자주 구매된다는 후기,etc,donki
904,앗토논EX,흉터 관리에 뛰어나 병원에서도 관리법을 물을 정도로 효과가 좋다는 실사용 후기,etc,donki
905,앤드허니 헤어오일,"가격대는 있지만 향과 발림성, 머릿결 효과 모두 만족스러워 매장에서도 인기가 높다는 후기",etc,donki
906,야마야 명란 마요네즈,명란이 그대로 들어간 마요네즈로 고소하고 짭짤해 밥이나 빵에 잘 어울린다는 후기,food,donki
907,야마자키 사케,고급스러운 풍미와 희소성으로 선물용으로도 고민할 가치가 있는 일본 프리미엄 위스키,etc,donki
908,에레키반 자석파스,자석형으로 통증 부위에 오래 붙어 효과가 좋으며 손목 통증에 효과적이라는 평,etc,donki
909,에비스 칫솔,모가 부드럽고 치아 사이사이 잘 닦여 가성비 좋은 칫솔로 알려져 있다는 후기,etc,donki
910,에비오스,위장이 약한 부모님을 위해 구매한 맥주 효모 기반의 위장 영양제로 실사용 후기도 존재,etc,donki
911,에자이 치노미카 비타민C,톡톡 터뜨려 마시는 발포형 비타민C로 여행 중 컨디션 관리용으로 추천된다는 평,etc,donki
912,오라 구강 스프레이,상큼한 향과 미니백에 들어가는 사이즈로 선물했을 때 다들 만족해했던 아이템이라는 후기,etc,donki
913,오라투 미백치약,착색 제거 효과가 있어 일본 쇼핑리스트에 꾸준히 포함되는 치약이라는 후기,etc,donki
914,오리히로 곤약젤리,튜브형으로 휴대성과 보관이 용이하며 다이어트 간식으로 반복 구매된다는 리뷰,etc,donki
915,오이오차,현지에서 저렴하게 구매 가능하며 시원하게 마시면 깔끔한 녹차 맛이 여행 중 갈증 해소에 좋다는 후기,food,donki
916,오차즈케 세트,간편하게 일본식 아침을 즐길 수 있어 현지 느낌을 선사한다는 후기,food,donki
917,오타이산 소화제,140년 전통의 국민 소화제로 먹자마자 속이 편해져 여행 필수템으로 반복 구매된다는 평가,etc,donki
918,오타이산A 타블렛,가루 타입보다 먹기 편하고 속이 편해져 개인적으로 항상 구매한다는 실사용 후기,etc,donki
919,오후의 홍차,달콤한 밀크티 맛으로 여행 중 간식과 잘 어울려 항상 챙겨 마신다는 후기,food,donki
920,옥수수 과자 (홋카이도산),공항과 특산품 매장에서 팔 정도로 인기 있는 홋카이도 옥수수 스낵으로 여행 선물로 추천됨,food,donki
921,옥수수 라멘 밀키트,콘버터 라멘에 반해 밀키트까지 구매할 정도로 만족도 높아 재구매 욕구 강하다는 후기,etc,donki
922,온천 유노하나 입욕제,온천지로 유명한 벳푸 특산품으로 개별 포장되어 선물용으로 적합하고 여행 추억을 되살릴 수 있어 추천된다는 후기,etc,donki
923,와사비 향미유,"짠 음식 먹을 때 중간에 뿌려 먹으면 꿀맛으로, 따뜻한 국물이나 비빔 면류에 잘 어울려 재구매한 현지 인기템이라는 후기",food,donki
924,와푸드메이드 술지게미 팩,각질 제거와 피부결 정리에 효과적이며 사용 후 파운데이션이 잘 먹는다는 후기,cosmetic,donki
925,용각산 캔디,목감기나 칼칼함에 약보다 효과적이라 10봉지씩 쟁여온다는 후기,etc,donki
926,우루라브 바디워시 & 스크럽,오키나와 바다소금과 산호 성분으로 각질 제거에 탁월하고 부드러운 피부 유지에 좋다는 후기,cosmetic,donki
927,우르오스 스킨밀크,남성용 로션+수분크림 올인원 제품으로 귀찮은 남자들을 위한 필수템이라는 평,cosmetic,donki
928,우마이봉,여러 맛의 일본 국민과자로 다양성과 가격 면에서 여행 선물로 인기 많음,food,donki
929,우지말차 기노코노 야마,녹차맛 버섯산 한정판으로 일본 기념품 선물로 챙겨오면 신선하다는 후기,food,donki
930,움직이는 볼펜 기념품,초밥 캐릭터가 움직이는 기믹이 있어 귀엽고 재밌는 일본 기념품으로 추천된다는 후기,etc,donki
931,위장약 가스모틴,소화불량과 위장 통증 완화에 효과 있어 상비약으로 자주 추천된다는 후기,etc,donki
932,유부 토핑,우동용 유부를 간편하게 따로 구입 가능해 집에서도 일본식 우동 분위기를 낼 수 있어 추천된다는 평,food,donki
933,유즈코쇼 텐카츠,"튀김고명으로 활용되며 따뜻한 요리에 향긋함과 감칠맛을 더해주고, '어떻게 이런 생각을 했을까'라는 찐감탄이 담긴 평이 있음",food,donki
934,윤켈,드링크형 피로회복제로 출근 후 피로할 때 효과적이라는 후기,etc,donki
935,이나리모찌,전자렌지에 간편하게 조리해 쫀득하고 짭짤한 매력이 있다는 실사용 후기,food,donki
936,이브 진통제,"퀵, 에이 등 종류가 다양하며 여행 비상약으로 만족도가 높다는 실사용 후기",etc,donki
937,이브 퀵,두통에 빠른 효과를 보여 직장인 필수템으로 생리통보다 두통에 효과가 좋다는 후기,etc,donki
938,이치란 라멘 밀키트,돈코츠 육수와 소면 스타일이 실제 매장 맛과 비슷해 여행 후에도 재구매된다는 평,food,donki
939,이치란 레드 파우더,요리에 뿌리면 일본의 매운맛을 더할 수 있어 현지 맛 그대로 재현 가능한 비법 가루라는 평,cosmetic,donki
940,이치방 쇼유/시오 라멘,국물 맛이 깔끔하고 깊어 일본 갈 때마다 반드시 쟁여오는 라멘으로 평가됨,food,donki
941,이토엔 프리미엄 말차 티백,진한 말차 풍미와 꿀을 곁들였을 때 감동적이라는 평으로 차 애호가에게 추천된다는 후기,food,donki
942,이토제과 랭글리 바닐라크림 랑그드샤,쿠크다스를 연상시키는 과자로 바닐라 크림과 고급진 식감이 어우러져 추천된다는 후기,cosmetic,donki
943,인공눈물/안약,에어컨 바람으로 건조해진 눈에 효과적이며 부피가 작고 가격도 저렴해 선물로도 적합하다는 후기,etc,donki
944,일본식 쿠크다스,쿠크다스 고급 버전 같은 맛으로 선물용으로 여러 개 사기 좋고 가족들이 좋아했다는 후기,food,donki
945,잇페이 야키소바,UFO보다 마요 소스가 있어 더 고소하다는 평으로 야키소바 애호가들 사이에서 인기,food,donki
946,잇페이짱 야끼소바,짭짤한 간장 베이스와 동봉된 마요네즈로 일본 음식 땡길 때 꺼내먹기 좋은 간식이라는 후기,food,donki
947,자가리코,바삭한 감자스틱 스낵으로 중독성 있는 식감 때문에 일본 가면 꼭 사온다는 평,food,donki
948,자가비,바삭한 식감과 감자 본연의 맛으로 선물용 과자 중 실패 없는 선택으로 추천된다는 후기,food,donki
949,자가포쿠루 감자과자,눈을감자와 비슷하지만 더 고급스럽고 맛이 뛰어나 두 박스 사와도 금방 먹는다는 후기,food,donki
950,자바 고체커리,5단계 매운맛도 있어 매운맛 덕후에게 도전해볼 만한 아이템이라는 후기,food,donki
951,장어양념 (카바야키 타래),"직접 만든 것보다 본토 양념이 맛있어 장어 요리에 자주 사용되며, 현지 맛집보다 맛있었다는 극찬 포함",food,donki
952,잭다니엘 코카콜라,"진한 잭콕 맛이 살아있어 신랑에게 선물했더니 반응이 좋았고, 츄하이보다 수백 배 더 매력 있다는 리뷰",food,donki
953,쟈가리코,단단한 식감이 매력적인 감자 과자로 한국에 대체재가 없어 추천된다는 사용자 의견,food,donki
954,조네츠 계란간장,계란밥에 뿌려 먹으면 감칠맛이 뛰어나고 돈키호테 PB상품 중에서도 실용적인 아이템이라는 후기,food,donki
955,조네츠 곤약젤리,가성비 좋고 다양한 맛이 있어 여행 간식이나 선물용으로 자주 구매된다는 후기,etc,donki
956,짐빔 애플,상큼한 애플 향이 특징으로 여행 기념 주류로 추천된다는 평,etc,donki
957,짜먹는 간장계란소스,간장과 계란맛 소스를 짜먹는 타입으로 밥이나 면에 잘 어울려 아침 식사로 좋다는 후기,food,donki
958,초나토키나제 7200fu,혈액순환에 도움되는 낫또 성분 포함으로 부담 없이 챙겨먹을 수 있는 영양제로 여행 필수템이라는 후기,etc,donki
959,초이스 비스킷,버터향이 진하게 퍼지는 달달한 맛으로 물리지 않고 우유와 잘 어울리는 최애 간식이라는 후기,food,donki
960,초코비,짱구 캐릭터 스티커와 함께 아이뿐 아니라 어른도 좋아하며 가격 대비 만족도 높은 간식,food,donki
961,초코카케이치고 (동결건조 딸기 초코),무인양품 디저트로 상큼한 동결딸기와 달콤한 초콜릿 조합이 매력적이라는 후기,food,donki
962,츄하이,다양한 과일 맛과 낮은 도수로 일본 여행 중 가볍게 마시기 좋은 알코올 음료라는 후기,food,donki
963,카베진,가격이 한국보다 절반이고 비상약으로도 유용하다는 리뷰,etc,donki
964,카이 손톱깎이,손톱이 튀지 않고 부드럽게 잘 깎여 깔끔함에 감탄한 사용자가 강력 추천하는 제품,etc,donki
965,카키노타네 초코땅콩버전,짭짤한 감씨와 달콤한 초콜릿 땅콩 조합이 중독적이라는 짧고 강한 후기,food,donki
966,카토우시오 토마토 사탕,짭짤하고 달달한 소금토마토 맛으로 일본에서 유행 중이며 가장 인기 있는 제품이라는 후기,food,donki
967,칼피스 원액,오리지널과 포도맛이 있으며 보기 힘든 상품으로 발견 즉시 구매를 추천한다는 평,food,donki
968,캔메이크 무치푸루 틴트,복숭아빛 색상과 쿨링감이 특징이며 보습감과 플럼핑 효과가 동시에 있어 꾸준히 찾는 립틴트라는 평,cosmetic,donki
969,캔메이크 블러셔 마이 톤 쿠튀르,밝은 피부에 맑게 발색되며 뽀송하게 마무리돼 첫 돈키호테 블러셔로 추천된다는 후기,cosmetic,donki
970,캔메이크 퍼펙트 스타일리스트 아이즈,가성비 좋은 아이섀도우 팔레트로 컬러 구성 다양하고 발색력 좋아 초보자에게도 추천된다는 후기,etc,donki
971,케아나 나데시코 마스크팩,속건조와 찢어질 듯한 피부를 진정시키는 데 효과적이며 매 겨울마다 꼭 쓴다는 후기,cosmetic,donki
972,케어리브 밴드,신축성이 뛰어나고 잘 떨어지지 않아 새 신발 신고 까진 발에 붙이기 좋아 항상 사 온다는 후기,clothing,donki
973,코로로 젤리,톡 터지는 식감이 재미있고 맛도 좋아 가격 대비 만족도가 높아 매번 사온다는 후기,food,donki
974,코코네 샴푸,거품 없이 쓰는 올인원 샴푸로 향이 좋고 편리해 재구매 욕구 생긴다는 사용자 후기,cosmetic,donki
975,콘드로이친,무릎이나 허리 관절에 효과 있어 선물용으로 자주 구매된다는 후기 있음,etc,donki
976,쿠마노 마유 베이비오일,말기름 성분으로 보습력이 뛰어나 겨울철 건성 피부용으로 마사지 및 로션 대용으로 인생템이라는 평,cosmetic,donki
977,쿨링 피로회복 패치,여행 후 발 피로를 풀어주는 데 효과적이라 여성 여행자에게 특히 인기 있다는 후기,etc,donki
978,퀄리티 퍼스트 마스크팩,"골드·레드·블루 등 다양한 라인으로 구성되어 있으며, 짧은 시간에도 즉각적인 보습과 탄력 효과를 주어 트러블 없이 매일 사용 가능하다는 후기",cosmetic,donki
979,큐렐 로션,수분 부족형 민감성 피부에 최적화돼 보습과 진정 효과가 뛰어나다는 후기,cosmetic,donki
980,큐피 마요네즈,100년 전통의 고소하고 진한 맛에 깔끔하게 짜지는 용기로 가정용으로 자주 구매된다는 평,food,donki
981,크라시에 초이 마스크팩 초록색,약용 성분이 진정에 효과 있고 일본 현지에서 핫하다는 후기,cosmetic,donki
982,클럽 슷핀 파우더,세안 없이도 잠자기 전에 사용할 수 있어 스킨케어 겸용 파우더로 인기가 많으며 향도 다양해 반복 구매된다는 후기,cosmetic,donki
983,클리어턴 마스크팩,가성비 높은 집중 보습팩으로 여행 중 혹은 짧은 시간 피부 관리에 유용하다는 후기,cosmetic,donki
984,클리코 푸칭 푸딩,진하고 쫀득한 맛으로 카페 퀄리티의 디저트를 즐길 수 있다는 평,food,donki
985,클린 덴탈 치약,처음엔 짠 향이 강하지만 개운함 때문에 N개째 사용하는 중이며 치주질환에 효과적이라는 실사용 후기,etc,donki
986,키노코야마 화이트초코,"초코송이 과자에서 과자 부분만 떼어 화이트 초코로 만든 제품으로, 귀엽고 다른 맛이 매력적이라는 후기",food,donki
987,키스미 아이브로우,"신뢰도 높은 일본 뷰티템으로, 쇼핑 고수들이 반드시 구매하는 제품이라는 평",cosmetic,donki
988,키스미 히로인 메이크 롱앤컬 마스카라,컬링력과 지속력 뛰어나고 번짐 없어 데일리용으로 많은 리뷰에서 극찬된 제품,cosmetic,donki
989,키어가드 숙취해소제,"숙취, 두통, 위장염, 저기압 두통 등에 효과 있으며 여행자나 직장인 필수약이라는 후기",etc,donki
990,킷캣(5가지맛),한국에서 보기 어려운 맛 구성이 있어 여행 선물로 인기 많다는 후기,food,donki
991,타마고카케후 고항노타레,계란과 간장을 동시에 짜먹는 형태로 비비기만 하면 완성되는 획기적인 아이템이라는 후기,food,donki
992,테라오카 계란간장,계란밥 전용 간장으로 130년 전통 브랜드 제품이라 신뢰 높고 큰 사이즈도 있어 가성비 좋다는 후기,food,donki
993,토라후루 다이렉트 패치,입 안에 붙이는 구내염 패치로 효과가 빠르고 위생적이라 여행 중 반드시 챙겨간다는 리뷰,etc,donki
994,트란시노 EX,기미보다는 안색이 밝아지는 효과를 느꼈다는 후기,etc,donki
995,트란시노 씨씨크림,선크림 겸용으로 옅은 톤업이 가능하고 화장이 잘 먹는다는 평,cosmetic,donki
996,트란시노 파우더,피부를 매끈하게 만들어줘서 봄여름에 더 필요하다는 후기,cosmetic,donki
997,트란시노 화이트 C 클리어,기미·색소침착·피부톤 개선에 효과적이며 가격도 저렴해 젊은 여성들 사이에서 인기 상승 중,cosmetic,donki
998,트란시노 화이트닝 크림,미백 효과가 있다는 후기로 피부 관리에 관심 있는 사람에게 추천됨,cosmetic,donki
999,티라미수 초콜릿 (코코아),은은한 티라미수 향과 아몬드 조합으로 적당히 단맛이라 질리지 않고 즐기기 좋다는 평,food,donki
1000,파브론 골드A 감기약,가루 타입이라 효과가 빠르며 지인 추천을 받아 대용량으로 재구매했다는 후기,etc,donki
1001,파우더 티슈 데오드란트,향기와 쿨링효과를 겸비한 여름 필수템으로 땀 많은 날 쾌적하게 사용할 수 있어 인기가 높다는 후기,cosmetic,donki
1002,파인 글리신,수면 보조제로 젤리형과 분말형이 있으며 실제 수면에 도움되었다는 리뷰 존재,food,donki
1003,판시론,소화제 계열로 푸드파이터 체질이라 항상 구비한다는 유저의 찐템 평,etc,donki
1004,퍼펙트 휩 클렌징폼,화장이 잘 지워지고 세정력이 뛰어나 일본 여행 시 필수 구매템으로 언급됨,cosmetic,donki
1005,페양구 야끼소바,식당 퀄리티의 풍미에 양도 많아 든든하고 선물용으로도 만족도 높다는 평,etc,donki
1006,페어아크네 여드름 로션,트러블 케어용 스킨타입 로션으로 여름에도 부담 없이 바를 수 있다는 후기,cosmetic,donki
1007,페코짱 밀키 캔디,자연스러운 우유 맛과 다양한 포장으로 선물용으로 좋으며 부드러운 단맛이 매력적이라는 후기,food,donki
1008,페투치네 젤리,강한 새콤함과 쫀득한 식감이 매력이라 젤리 덕후에게 강추된다는 후기,food,donki
1009,펠리칸 엉덩이비누,엉덩이·등드름용 약산성 비누로 피부 톤 개선 효과가 있으며 귀엽고 가벼워 선물용으로도 적합하다는 평,cosmetic,donki
1010,포테토 디럭스 마일드솔트맛,3배 두께의 감자칩으로 바삭하면서 부드럽고 너무 맛있어서 순삭했다는 실사용 후기,food,donki
1011,퓨아레 티라미수 초콜릿,"녹차, 코코아 등 다양한 맛이 들어있는 진한 맛의 티라미수 초콜릿으로 만족도가 높다는 후기",food,donki
1012,퓨어 프리미엄 젤리 야마나시 백도,과일의 상큼한 맛과 설탕의 식감이 어우러져 당 보충용 간식으로 인기가 많다는 후기,food,donki
1013,프리츠 초콜릿,한국에서도 인기 있는 초콜릿으로 일본에서 저렴하게 구매 가능하다는 후기,food,donki
1014,플로럴 인 파리 스톤 향수,딸기와 자스민 향이 어우러져 달콤하고 상쾌하다는 후기,food,donki
1015,피노 에센스,여성 선물로 인기 많고 요즘 핫한 헤어케어 제품으로 머릿결 관리에 효과가 좋다는 후기,cosmetic,donki
1016,피노 트리트먼트,헤어팩 대용으로 좋고 향과 효과 모두 만족스러워 반복 구매된다는 후기,cosmetic,donki
1017,피노 프리미엄 터치 헤어 오일,저녁에 바르고 자면 머리가 엉키지 않아 여행 시 필수로 챙긴다는 후기,etc,donki
1018,피노 헤어팩,향이 좋고 머릿결을 매끄럽게 만들어주는 효과로 매번 구매하게 되는 만족도 높은 제품,cosmetic,donki
1019,피카츄 모기 기피 패치,아이들이 좋아하는 캐릭터 디자인으로 붙이기도 편하고 기피 효과도 좋아 선물용으로 추천,etc,donki
1020,피카츄 젤리,작고 귀여운 피카츄 모양에 쫀득한 식감으로 맛과 비주얼 모두 만족이라는 후기,food,donki
1021,피크민·퍼글러 캐릭터 키링,다양한 디자인과 캐릭터로 쇼핑 재미를 더해주며 부담 없이 기념품으로 적합하다는 평,etc,donki
1022,하다라보 고쿠쥰 로션,피부 자극 없이 깊은 보습감을 줘서 민감성 피부에도 적합하고 대용량이라 가성비 높다는 평,cosmetic,donki
1023,하다라보 시로준 프리미엄 리세 안약,렌즈 사용자와 눈 피로에 탁월한 효과가 있어 장시간 이동 시 필수라는 강력 추천 후기,etc,donki
1024,하또무기 스킨,대용량에 온몸 사용 가능해 여행 중에도 편하게 쓰기 좋다는 사용자 경험,etc,donki
1025,하야시라이스,부탁받고 사온 제품으로 고급스러운 맛으로 추천된다는 평,food,donki
1026,하우스 카리야 카레,건더기가 푸짐하고 맛이 좋아 개인적으로 선호된다는 후기,food,donki
1027,하이츄,국내에 없는 시즌 한정이나 지역 특산 맛 위주로 사오는 것을 추천한다는 후기,food,donki
